0,1,2,3,4,5,6,7,8,9,10
pork,brown bread,,,,,,,,,
sausage,curd,bottled water,frozen meals,,,,,,,
margarine,cream cheese ,,,,,,,,,
liver loaf,white bread,herbs,pastry,,,,,,,
root vegetables,whole milk,,,,,,,,,
beef,whole milk,newspapers,,,,,,,,
whole milk,rolls/buns,herbs,beverages,soda,,,,,,
newspapers,soft cheese,,,,,,,,,
pastry,waffles,napkins,,,,,,,,
dog food,curd,,,,,,,,,
frozen meals,sugar,,,,,,,,,
canned beer,rolls/buns,baking powder,,,,,,,,
onions,hamburger meat,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,baking powder,,,,,,,,,
mustard,brown bread,,,,,,,,,
berries,whipped/sour cream,,,,,,,,,
sugar,butter milk,photo/film,,,,,,,,
sugar,specialty bar,,,,,,,,,
other vegetables,rolls/buns,soda,cat food,,,,,,,
hamburger meat,whole milk,rolls/buns,yogurt,frozen vegetables,,,,,,
misc. beverages,tea,,,,,,,,,
fruit/vegetable juice,newspapers,,,,,,,,,
whole milk,whole milk,,,,,,,,,
herbs,spread cheese,rolls/buns,,,,,,,,
meat,frozen potato products,,,,,,,,,
ham,citrus fruit,sugar,ice cream,whole milk,chocolate marshmallow,specialty bar,candy,,,
roll products ,oil,UHT-milk,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
bottled water,whole milk,,,,,,,,,
white bread,spread cheese,,,,,,,,,
bottled water,pastry,specialty bar,herbs,,,,,,,
cream cheese ,sugar,,,,,,,,,
dessert,brown bread,,,,,,,,,
pork,specialty bar,long life bakery product,,,,,,,,
beverages,salt,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
pork,white wine,,,,,,,,,
whole milk,pastry,liquor,,,,,,,,
shopping bags,chocolate,,,,,,,,,
nuts/prunes,canned beer,other vegetables,shopping bags,,,,,,,
sugar,canned vegetables,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
yogurt,specialty chocolate,specialty bar,,,,,,,,
photo/film,bottled beer,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
coffee,tidbits,,,,,,,,,
other vegetables,white bread,,,,,,,,,
finished products,bottled water,cling film/bags,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
pip fruit,brandy,,,,,,,,,
frankfurter,ice cream,,,,,,,,,
bottled beer,pastry,,,,,,,,,
nut snack,canned beer,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
white bread,butter,,,,,,,,,
pastry,whole milk,other vegetables,rolls/buns,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
butter,long life bakery product,,,,,,,,,
yogurt,soda,yogurt,,,,,,,,
sausage,soda,,,,,,,,,
pastry,other vegetables,,,,,,,,,
root vegetables,frankfurter,other vegetables,mayonnaise,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
soda,brown bread,,,,,,,,,
